who,Actual_Time,Age,Community_Building,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_Censorship,Primary_Computing_Platform,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet
94263,K-12_Student,15,Dont_Know,0,0,1,0,0,0,0,0,Oklahoma,0,0,0,1,0,0,Grammar,NA,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,3,Dont_Know,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,No,No,0,0,1,0,0,0,Cost_too_high,Under_6_mo
99444,College_Student,32,Equally,1,1,0,0,0,1,0,0,Oklahoma,0,0,0,1,0,0,Some_College,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Education,Married,Other,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr
99445,Service_Industry_Occupation,46,Dont_Know,0,0,1,0,0,0,0,0,Ohio,0,0,0,1,0,0,High_School,Never,Female,$10-19,1,0,0,0,0,0,0,0,0,USA,Other,Married,Navigation,1,?,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo
90681,Service_Industry_Occupation,56,Equally,0,0,1,0,0,0,0,0,Indiana,0,0,0,1,0,0,High_School,Never,Male,$20-29,0,0,1,0,0,0,0,0,0,USA,Other,Divorced,Censorship,3,?,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Yes_regardless,6-12_mo
94268,College_Student,27,More,0,1,0,1,0,1,1,0,Indiana,0,0,0,1,0,0,Masters,Under_25,Male,Not_Say,0,1,0,0,0,0,0,0,0,USA,Education,Single,Privacy,1,Win95,English,Primarily_work,White,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0,Other_sources,Over_7_yr
94355,Other,24,More,0,0,0,1,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some_College,NA,Female,$30-39,1,0,0,0,0,0,0,0,0,USA,Other,Other,Other,1,?,English,Home,White,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,No,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,Under_6_mo
91027,K-12_Educator,48,More,1,1,0,0,0,1,0,0,Florida,0,0,0,1,0,0,Masters,Under_25,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Education,Married,Privacy,1,Win95,English,Home,White,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,1,0,0,0,0,Other,1-3_yr
92469,Networking,36,More,1,0,0,0,0,0,0,0,Virginia,0,0,0,1,0,0,Masters,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Privacy,2,NT,English,Primarily_work,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,Over_7_yr
97361,Health_Care_Worker,46,Dont_Know,0,0,1,0,0,0,0,0,Florida,0,0,0,1,0,0,Some_College,Under_25,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Navigation,1,Windows,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Gay_male,Yes,No,0,0,0,0,1,0,Other_sources,1-3_yr
99221,Other,27,Less,1,0,0,0,0,1,0,0,Washington,0,0,0,1,0,0,High_School,26-50,Male,$50-74,0,1,0,0,0,0,0,0,0,USA,Computer,Other,Other,4,Macintosh,English,Primarily_work,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Gay_male,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr
92881,Mircocomputer,28,Dont_Know,0,0,1,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Special,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Navigation,1,Win95,English,Work,White,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,1-3_yr
95653,Looking,22,Dont_Know,0,0,0,1,0,0,0,0,Ontario,0,0,1,0,0,0,Other,Never,Male,Under_$10,0,0,0,0,0,0,0,0,1,Canada,Other,Single,Encryption,4,Win95,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,6-12_mo
96049,Retired,44,More,0,1,0,0,0,0,0,1,Indiana,0,0,0,0,1,0,Some_College,Never,Male,$30-39,0,0,0,1,0,0,0,0,0,USA,Other,Divorced,Taxes,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0,Already_paying,1-3_yr
99538,College_Student,18,Less,0,1,0,1,0,0,0,0,Tennessee,0,0,0,1,0,0,High_School,NA,Female,Not_Say,0,0,0,0,0,0,1,0,1,USA,Education,Single,Censorship,1,Win95,English,School,White,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,Yes,Heterosexual,No,No,0,0,0,1,0,0,Other_sources,1-3_yr
93905,Service_Industry_Occupation,42,Dont_Know,0,0,1,0,0,0,0,0,Ohio,0,0,0,1,0,0,College,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Other,Other,Privacy,1,?,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,Yes,Lesbian,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo
91729,Other,44,More,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,College,Never,Male,$40-49,1,0,0,0,0,0,0,0,0,USA,Other,Single,Privacy,1,?,English,Home,White,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo
93199,College_Student,18,More,0,1,0,0,0,0,0,0,Massachusetts,0,0,0,1,0,0,High_School,Never,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Dont_Know,4,DOS,English,School,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,Not_say,No,No,0,0,0,1,0,0,Cost_too_high,1-3_yr
92918,Other,55,More,1,1,0,0,0,1,0,1,Minnesota,0,0,0,1,0,0,College,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Taxes,1,Win95,English,Work,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr
92043,IS,23,More,0,1,0,0,1,1,0,0,Ontario,0,0,0,1,0,0,College,Under_25,Male,$10-19,0,0,0,1,0,0,0,0,0,Canada,Computer,Other,Censorship,1,NT,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0,Other_sources,1-3_yr
97902,Homemaker,25,More,1,1,0,0,0,0,0,1,Arkansas,0,0,0,1,0,0,Some_College,Never,Female,$20-29,1,0,0,0,0,0,0,0,0,USA,Other,Married,Dont_Know,4,?,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,6-12_mo
91653,Architect,44,More,0,0,0,1,1,0,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Male,$75-99,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Censorship,1,Win95,English,Primarily_work,White,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,1,Cost_too_high,4-6_yr
99357,Engineer,Not_Say,Dont_Know,0,0,0,0,0,1,0,0,New_Jersey,0,0,0,1,0,0,College,Over_75,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,1,Win95,English,Distributed,Not_Say,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,Yes,Not_say,Yes,Yes,0,0,0,0,1,1,Other_sources,4-6_yr
94667,Programmer,54,More,0,0,0,0,0,1,0,1,Texas,0,0,0,1,0,0,Masters,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Divorced,Taxes,2,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,1-3_yr
94357,Manager,35,Dont_Know,0,1,0,0,1,1,0,0,Texas,0,0,0,1,0,0,College,Under_25,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Management,Married,Taxes,4,NT,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Poor_quality,4-6_yr
97669,Retired,67,Dont_Know,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,Some_College,Never,Female,Not_Say,0,0,0,0,0,0,0,1,0,USA,Other,Married,Censorship,2,Macintosh,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other,1-3_yr
94015,Manager,38,Equally,0,1,0,0,0,0,0,0,New_York,0,0,0,1,0,0,College,26-50,Male,Over_$100,0,0,0,0,0,0,0,0,1,USA,Management,Married,Censorship,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr
94938,College_Educator,35,More,0,0,1,0,0,0,0,0,Illinois,0,0,0,0,0,1,College,Never,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,Macintosh,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other,1-3_yr
99299,K-12_Educator,50,Dont_Know,1,0,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Married,Navigation,4,Windows,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Dont_trust,6-12_mo
90971,Civil_Servant,50,Equally,0,1,0,0,0,0,0,0,Alabama,0,0,0,1,0,0,College,Never,Female,$30-39,0,0,0,1,0,0,0,0,1,USA,Other,Single,Dont_Know,4,?,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other,6-12_mo
91565,Manager,49,Equally,1,1,0,0,0,0,0,0,California,0,0,0,1,0,0,College,Never,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Management,Divorced,Privacy,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo
95853,Designer,32,Dont_Know,1,0,0,0,0,0,0,0,Michigan,0,0,0,1,0,0,Some_College,Under_25,Female,$40-49,0,0,0,0,0,0,0,0,1,USA,Other,Widowed,Privacy,1,Win95,English,Home,White,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Dont_trust,Under_6_mo
26027,Other,36,Equally,0,0,1,0,0,0,0,0,Switzerland,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,1,0,0,0,0,0,0,Europe,Education,Married,Censorship,1,Win95,English,Work,Latino,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Other_sources,Under_6_mo
98070,College_Student,18,Equally,0,1,0,1,0,0,0,1,Massachusetts,0,0,0,1,0,0,Some_College,Never,Female,Not_Say,0,0,0,0,0,0,0,1,0,USA,Education,Single,Privacy,2,Win95,English,School,Not_Say,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,Yes,Heterosexual,Yes,No,0,0,0,1,0,0,Cost_too_high,Under_6_mo
99639,Writer/Journalist,33,Less,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,Some_College,Under_25,Male,$30-39,0,0,1,0,0,0,0,0,0,USA,Other,Divorced,Other,1,Macintosh,English,Home,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,Over_7_yr
98503,Clerk,26,Dont_Know,0,0,1,0,0,0,0,0,United_Kingdom,0,0,0,1,0,0,High_School,Over_75,Male,$30-39,0,0,0,0,0,0,0,0,1,Europe,Professional,Single,Privacy,4,Win95,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,6-12_mo
92773,Other,33,Dont_Know,1,0,0,0,0,0,0,0,Ontario,0,0,0,1,0,0,Special,NA,Male,$50-74,1,0,0,0,0,0,0,0,0,Canada,Professional,Other,Privacy,3,Win95,English,Home,White,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,Yes,Heterosexual,No,No,0,1,0,0,1,0,Other_sources,Under_6_mo
91030,Manager,31,More,0,0,0,0,0,1,0,0,Philippines,0,0,0,1,0,0,College,Not_Say,Male,$50-74,0,0,0,0,0,0,0,0,1,Asia,Management,Married,Censorship,1,Windows,English,School,Asian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Bisexual,Dont_know,No,0,0,0,0,1,0,Other,6-12_mo
95503,College_Student,28,Equally,0,0,1,0,0,0,0,0,Wisconsin,0,0,0,1,0,0,College,Never,Male,$30-39,0,1,0,0,0,0,0,0,0,USA,Education,Married,Privacy,3,Win95,English,Primarily_work,White,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Yes,Not_say,No,Yes,0,0,0,1,0,0,Other_sources,1-3_yr
95118,Other,28,Equally,1,0,0,0,0,1,0,1,Massachusetts,0,0,0,1,0,0,Some_College,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Professional,Separated,Privacy,2,Win95,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,1,0,Cost_too_high,1-3_yr
93931,College_Student,21,Dont_Know,0,1,0,0,0,0,1,1,Alabama,0,0,0,1,0,0,Some_College,Not_Say,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,1,Macintosh,English,School,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,1,0,0,0,Already_paying,1-3_yr
96519,Programmer,26,Equally,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,College,Under_25,Female,$40-49,0,0,0,1,0,0,0,0,0,USA,Computer,Single,Censorship,2,Win95,English,Primarily_work,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,0,1,Other_sources,4-6_yr
93838,College_Student,21,Equally,0,0,1,0,0,0,0,0,Australia,0,0,0,0,0,1,High_School,Under_25,Male,$10-19,0,0,0,0,0,0,0,0,1,Oceania,Education,Single,Censorship,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr
93839,Other,28,Dont_Know,0,0,1,0,0,0,0,0,New_Jersey,0,0,0,1,0,0,High_School,NA,Female,$75-99,0,0,0,0,0,0,0,0,1,USA,Computer,Other,Encryption,4,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,1-3_yr
93165,K-12_Student,15,More,0,1,0,1,0,0,0,0,Indiana,0,0,0,1,0,0,Grammar,Never,Male,Over_$100,0,0,0,1,0,0,0,0,0,USA,Education,Single,Taxes,1,Win95,English,Primarily_home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Not_Applicable,Heterosexual,Yes,Yes,0,0,1,0,0,0,Other_sources,4-6_yr
96427,Engineer,38,Dont_Know,0,0,0,1,0,0,0,0,United_Kingdom,0,0,0,1,0,0,College,Never,Female,$40-49,0,0,0,0,0,0,0,0,1,Europe,Professional,Single,Other,2,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0,Already_paying,1-3_yr
97590,Writer/Journalist,56,Dont_Know,0,0,0,1,0,0,0,0,Massachusetts,0,0,0,1,0,0,Masters,NA,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Navigation,3,Dont_Know,English,Other,White,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Other,6-12_mo
90824,Self_Employed,49,More,0,0,0,0,0,1,0,1,Sweden,0,0,0,1,0,0,Some_College,Never,Male,Not_Say,0,0,1,0,0,0,0,0,0,Europe,Management,Divorced,Censorship,4,Win95,Swedish,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,1-3_yr
94870,Other,26,More,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,High_School,Under_25,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Other,Married,Taxes,2,?,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo
99224,Programmer,28,More,0,1,0,0,0,1,0,0,Alabama,0,0,0,1,0,0,College,Never,Female,$20-29,0,0,0,0,0,0,0,1,0,USA,Computer,Single,Censorship,3,Macintosh,English,Work,White,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr
82157,Other,41,More,0,1,0,0,0,1,1,0,New_Mexico,0,0,0,1,0,0,Doctoral,Never,Male,$30-39,0,0,0,0,0,1,0,0,0,USA,Education,Single,Navigation,3,Macintosh,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,1,Other,Over_7_yr
96565,College_Student,23,Equally,1,0,0,0,0,1,0,0,New_York,0,0,0,1,0,0,College,Under_25,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,1,NT,English,Other,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,Heterosexual,Yes,Yes,0,0,0,1,0,1,Other,1-3_yr
95938,Programmer,40,Dont_Know,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,College,Under_25,Female,Over_$100,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Navigation,1,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr
92930,College_Student,16,Dont_Know,1,1,0,0,0,0,0,1,Washington,0,0,0,1,0,0,Other,Never,Female,$75-99,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,1,Win95,English,Primarily_home,Other,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,Yes,No,0,1,0,0,0,0,Already_paying,1-3_yr
94392,Programmer,33,Dont_Know,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,College,NA,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Computer,Single,Navigation,1,Macintosh,English,Primarily_home,White,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,Yes,Gay_male,Yes,Yes,0,0,0,0,1,0,Cost_too_high,4-6_yr
96093,Programmer,40,More,0,1,0,0,0,1,0,0,Georgia,0,0,0,0,0,1,College,Never,Male,Not_Say,0,0,0,0,1,0,0,0,0,USA,Computer,Married,Privacy,1,OS2,English,Primarily_home,White,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,1,Poor_quality,1-3_yr
95492,Other,46,More,1,1,0,0,0,1,0,0,California,0,0,0,1,0,0,College,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Computer,Separated,Censorship,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,4-6_yr
91516,Programmer,35,Equally,0,0,0,0,0,1,0,0,Alberta,0,0,0,1,0,0,College,Never,Male,Over_$100,0,0,0,0,0,0,0,0,1,Canada,Computer,Other,Encryption,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Cost_too_high,4-6_yr
98031,Self_Employed,42,Equally,0,0,1,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Some_College,Never,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Management,Married,Censorship,1,Macintosh,English,Primarily_home,White,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Already_paying,1-3_yr
99263,Other,23,Dont_Know,0,0,1,0,0,0,0,0,Utah,0,0,0,1,0,0,Some_College,Under_25,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Privacy,3,Win95,English,Home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr
91009,College_Educator,20,Less,0,0,1,0,0,0,0,0,Virginia,0,0,0,1,0,0,College,Under_25,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,Win95,English,School,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,1,0,0,0,Already_paying,1-3_yr
90375,College_Student,21,Dont_Know,0,0,1,0,0,0,0,0,New_Zealand,0,0,0,0,0,1,College,Never,Male,Over_$100,0,0,0,0,0,0,0,0,1,Oceania,Education,Single,Privacy,3,Windows,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,0,1,Other_sources,1-3_yr
97686,Other,29,More,1,0,0,0,0,0,0,0,North_Carolina,1,1,1,0,0,1,High_School,Never,Male,$20-29,0,0,0,1,0,0,0,0,0,USA,Other,Married,Privacy,1,?,English,Home,White,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo
93465,Other,24,More,0,0,0,0,0,0,1,0,Missouri,0,0,0,1,0,0,College,Never,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Encryption,1,Win95,English,Primarily_home,White,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,4-6_yr
92988,Other,20,Dont_Know,0,0,1,0,0,0,0,0,Ontario,0,0,0,1,0,0,Some_College,Never,Female,$40-49,0,0,0,0,0,0,0,0,1,Canada,Education,Single,Privacy,1,Windows,English,School,White,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,Yes,Heterosexual,No,No,0,0,0,1,0,0,Other_sources,Under_6_mo
95695,Consultant,54,Equally,0,0,1,0,0,0,0,0,Georgia,0,0,0,1,0,0,Masters,Under_25,Male,$75-99,0,0,0,0,0,1,0,0,0,USA,Professional,Married,Navigation,4,NT,English,Primarily_work,White,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,Over_7_yr
97538,Service_Industry_Occupation,44,Dont_Know,0,1,0,0,0,1,0,0,Czech,0,0,0,0,0,1,Other,Under_25,Male,Under_$10,0,0,0,0,0,0,1,0,0,Europe,Other,Married,Navigation,1,Windows,Englishczech,Home,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Dont_know,0,0,0,0,1,0,Poor_quality,Under_6_mo
91034,Mircocomputer,48,Dont_Know,0,0,1,0,0,0,0,0,Ontario,0,0,0,1,0,0,Some_College,NA,Male,$20-29,0,0,0,0,0,0,0,0,1,Canada,Computer,Married,Privacy,1,Win95,English,Home,White,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo
98623,Artist/Musician,41,Dont_Know,0,0,1,0,0,0,0,0,North_Carolina,0,0,0,1,0,0,Some_College,26-50,Male,Not_Say,0,0,0,1,0,0,0,0,0,USA,Other,Single,Privacy,1,Macintosh,English,Other,White,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Poor_quality,Over_7_yr
